"college_name","Address","name","city_name","state","pop","lat","long","capital"
"The University of Alabama","739 University Boulevard, Tuscaloosa, AL 35487-0100","Tuscaloosa AL","Tuscaloosa","AL",80164,33.24,-87.54,0
"Arizona State University","P.O. Box 877705, Tempe, AZ 85287","Tempe AZ","Tempe","AZ",158313,33.39,-111.93,0
"Northern Arizona University","South San Francisco Street, Flagstaff, AZ 86011","Flagstaff AZ","Flagstaff","AZ",58490,35.19,-111.62,0
"Arizona State University","500 North 3rd Street, Phoenix, AZ 85004-0698","Phoenix AZ","Phoenix","AZ",1450884,33.54,-112.07,2
"University of Arizona","1401 E University, Tucson, AZ 85721-0066","Tucson AZ","Tucson","AZ",525268,32.2,-110.89,0
"Northern Arizona University","P.O. Box 4092, Flagstaff, AZ 86011","Flagstaff AZ","Flagstaff","AZ",58490,35.19,-111.62,0
"California Institute of Technology","1200 E California Blvd, Pasadena, CA 91125","Pasadena CA","Pasadena","CA",146676,34.16,-118.14,0
"University of California Berkeley","200 California Hall, Berkeley, CA 94720-1500","Berkeley CA","Berkeley","CA",99653,37.87,-122.27,0
"University of California Davis","One Shields Avenue, Davis, CA 95616-8678","Davis CA","Davis","CA",66992,38.55,-121.74,0
"University of California Irvine","510 Aldrich Hall, Irvine, CA 92697-1000","Irvine CA","Irvine","CA",199755,33.66,-117.8,0
"University of California Los Angeles","405 Hilgard Ave, Los Angeles, CA 90095","Los Angeles CA","Los Angeles","CA",3911500,34.11,-118.41,0
"University of California Riverside","900 University Ave, Riverside, CA 92521","Riverside CA","Riverside","CA",306351,33.94,-117.4,0
"University of California San Diego","9500 Gilman Dr, La Jolla, CA 92093","La Jolla CA","La Jolla","CA",NA,NA,NA,NA
"University of California Santa Barbara","552 University Road, Santa Barbara, CA 93106-2030","Santa Barbara CA","Santa Barbara","CA",86115,34.43,-119.72,0
"University of California Santa Cruz","1156 High St, Santa Cruz, CA 95064","Santa Cruz CA","Santa Cruz","CA",54583,36.97,-122.04,0
"Claremont Graduate University","150 E Tenth St, Claremont, CA 91711-6160","Claremont CA","Claremont","CA",NA,NA,NA,NA
"Naval Postgraduate School","1 University Ave, Monterey, CA 93943-5002","Monterey CA","Monterey","CA",NA,NA,NA,NA
"University of Southern California","University Park, Los Angeles, CA 90089-0012","Los Angeles CA","Los Angeles","CA",3911500,34.11,-118.41,0
"University of Colorado Denver","13120 E. 19th Ave #C288-18, Aurora, CO 80045","Aurora CO","Aurora","CO",304641,39.71,-104.73,0
"Colorado State University","102 Administration Building, Fort Collins, CO 80523","Fort Collins CO","Fort Collins","CO",131505,40.56,-105.07,0
"Colorado School of Mines","1500 Illinois St, Golden, CO 80401","Golden CO","Golden","CO",NA,NA,NA,NA
"Colorado State University","102 Administration Building, Fort Collins, CO 80523-0100","Fort Collins CO","Fort Collins","CO",131505,40.56,-105.07,0
"University of Denver","2199 S. University Blvd, Denver, CO 80208","Denver CO","Denver","CO",556575,39.77,-104.87,2
"University of Connecticut","352 Mansfield Rd. Unit 2048, Storrs, CT 06269-2048","Storrs CT","Storrs","CT",NA,NA,NA,NA
"Yale University","105 Wall Street, New Haven, CT 06520","New Haven CT","New Haven","CT",125030,41.31,-72.92,0
"University of Delaware","104 Hullihen Hall, Newark, DE 19716","Newark DE","Newark","DE",NA,NA,NA,NA
"Georgetown University","37th and O St NW, Washington, DC 20057","Washington DC","Washington","DC",NA,NA,NA,NA
"Florida Atlantic University","777 Glades Rd, Boca Raton, FL 33431-0991","Boca Raton FL","Boca Raton","FL",81868,26.37,-80.11,0
"Florida Institute of Technology","150 West University Boulevard, Melbourne, FL 32901-6975","Melbourne FL","Melbourne","FL",77320,28.11,-80.64,0
"Florida International University","11200 SW 8th Street, Miami, FL 33199","Miami FL","Miami","FL",386740,25.78,-80.21,0
"Florida State University","222 South Copeland Street, Tallahassee, FL 32306-1470","Tallahassee FL","Tallahassee","FL",154114,30.46,-84.28,2
"University of Florida","300 SW 13th Street, Gainesville, FL 32611","Gainesville FL","Gainesville","FL",127933,29.67,-82.34,0
"Nova Southeastern University","3301 College Ave, Fort Lauderdale, FL 33314-7796","Fort Lauderdale FL","Fort Lauderdale","FL",173597,26.14,-80.14,0
"University of South Florida","4202 East Fowler Ave, Tampa, FL 33620-9951","Tampa FL","Tampa","FL",328578,27.96,-82.48,0
"Emory University","1520 Clifton Rd. NE, Atlanta, GA 30322","Atlanta GA","Atlanta","GA",424096,33.76,-84.42,2
"Georgia State University","33 Gilmer St SE, Atlanta, GA 30302-3083","Atlanta GA","Atlanta","GA",424096,33.76,-84.42,2
"University of Georgia","456 East Broad Street, Athens, GA 30602","Athens GA","Athens","GA",NA,NA,NA,NA
"Boise State University","1910 University Dr, Boise, ID 83725","Boise ID","Boise","ID",193628,43.61,-116.23,2
"University of Idaho","875 Perimeter Drive, Moscow, ID 83844-2282","Moscow ID","Moscow","ID",NA,NA,NA,NA
"University of Chicago","5801 S Ellis Ave, Chicago, IL 60637","Chicago IL","Chicago","IL",2830144,41.84,-87.68,0
"DePaul University","14 E. Jackson Blvd, Chicago, IL 60604","Chicago IL","Chicago","IL",2830144,41.84,-87.68,0
"DePaul University","1 East Jackson Blvd., Chicago, IL 60604","Chicago IL","Chicago","IL",2830144,41.84,-87.68,0
"University of Illinois at Chicago","601 S. Morgan St. ; M/C 102, Chicago, IL 60607-7128","Chicago IL","Chicago","IL",2830144,41.84,-87.68,0
"University of Illinois at Urbana Champaign","601 E John Street, Champaign, IL 61820-5711","Champaign IL","Champaign","IL",76999,40.11,-88.26,0
"Illinois Institute of Technology","10 W. 35th Street, Chicago, IL 60616","Chicago IL","Chicago","IL",2830144,41.84,-87.68,0
"Northwestern University","633 Clark St, Evanston, IL 60208","Evanston IL","Evanston","IL",75419,42.05,-87.69,0
"Indiana State University","200 N 7th St, Terre Haute, IN 47809","Terre Haute IN","Terre Haute","IN",56544,39.47,-87.38,0
"University of Notre Dame","Main Building, Notre Dame, IN 46556","Notre Dame IN","Notre Dame","IN",NA,NA,NA,NA
"University of Iowa","101 Jessup Hall, Iowa City, IA 52242-1316","Iowa City IA","Iowa City","IA",64490,41.66,-91.54,0
"University of Kansas","230 Strong Hall 1450 Jayhawk Blvd., Lawrence, KS 66045-7535","Lawrence KS","Lawrence","KS",83948,38.96,-95.26,0
"Kansas State University","110 Anderson Hall, Manhattan, KS 66506","Manhattan KS","Manhattan","KS",45671,39.19,-96.59,0
